City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,11.5,broken clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,68,4.0,broken clouds
81,East London,ZA,-33.0153,27.9116,85.14,79,0,5.75,clear sky
82,Torbay,CA,47.6666,-52.7314,26.58,84,95,3.0,overcast clouds
83,Matadi,CD,-5.8167,13.45,89.46,54,12,6.02,few clouds
84,Clyde River,CA,70.4692,-68.5914,-27.17,68,100,3.44,light snow
85,Atuona,PF,-9.8,-139.0333,78.31,76,84,17.4,broken clouds
86,Ugoofaaru,MV,5.6667,73.0,82.65,71,6,11.45,clear sky
87,Kovdor,RU,67.5662,30.4758,3.43,99,100,2.75,overcast clouds
88,Wade Hampton,US,34.9037,-82.3332,43.97,73,100,1.01,overcast clouds
89,Hailar,CN,49.2,119.7,-22.47,100,26,4.09,scattered clouds
90,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,93,75,5.01,light intensity drizzle
91,Tres Arroyos,AR,-38.3739,-60.2798,89.89,31,89,12.73,overcast clouds
92,Castro,BR,-24.7911,-50.0119,73.24,71,87,5.55,overcast clouds
93,Sagar,IN,23.8333,78.7167,68.27,39,0,3.2,clear sky
94,Batemans Bay,AU,-35.7167,150.1833,62.98,70,94,9.91,overcast clouds
95,Namibe,AO,-15.1961,12.1522,79.0,56,97,15.55,overcast clouds
96,Talnakh,RU,69.4865,88.3972,1.6,97,95,6.31,overcast clouds
97,Barrow,US,71.2906,-156.7887,-20.18,76,0,4.61,clear sky
98,Krasnokamensk,RU,50.0979,118.0369,-18.6,98,18,3.78,few clouds
99,Hithadhoo,MV,-0.6,73.0833,82.65,70,30,6.69,scattered clouds
100,Truth Or Consequences,US,33.1284,-107.2528,44.83,41,75,3.44,broken clouds
101,Pitimbu,BR,-7.4706,-34.8086,86.59,63,95,10.89,overcast clouds
102,Northam,GB,51.0333,-4.2167,55.02,86,61,8.72,broken clouds
103,Larsnes,NO,62.2028,5.5773,35.67,76,100,20.31,light snow
104,Dmitrov,RU,56.35,37.5167,27.25,91,100,8.1,overcast clouds
105,Paamiut,GL,61.994,-49.6678,0.16,79,6,9.8,clear sky
106,Port Alfred,ZA,-33.5906,26.891,84.88,65,100,15.46,overcast clouds
107,Iqaluit,CA,63.7506,-68.5145,2.93,78,100,21.85,light snow
108,Butaritari,KI,3.0707,172.7902,80.91,82,98,16.8,light rain
109,Plettenberg Bay,ZA,-34.0527,23.3716,72.95,96,100,7.34,heavy intensity rain
110,Dukat,RU,62.55,155.55,-16.15,100,100,5.46,overcast clouds
111,Chokurdakh,RU,70.6333,147.9167,-12.28,98,100,7.14,overcast clouds
112,Arys,KZ,42.4252,68.795,43.02,53,100,4.43,overcast clouds
113,Porosozero,RU,62.7191,32.727,9.72,97,98,3.67,overcast clouds
114,Narsaq,GL,60.9167,-46.05,-3.26,69,0,5.66,clear sky
115,Srednekolymsk,RU,67.45,153.6833,-18.67,95,78,6.24,broken clouds
116,Fortuna,US,40.5982,-124.1573,40.98,84,0,9.22,clear sky
117,Skjervoy,NO,70.0311,20.9714,24.98,69,49,17.98,scattered clouds
118,Portland,US,45.5234,-122.6762,41.83,95,100,1.01,light intensity drizzle
119,Mezhdurechensk,RU,53.6942,88.0603,2.75,100,63,2.1,broken clouds
120,Katsuura,JP,35.1333,140.3,44.71,51,56,8.5,broken clouds
121,Bonavista,CA,48.6499,-53.1147,26.11,75,66,6.69,broken clouds
122,Gold Coast,AU,-28.0,153.4333,79.2,96,100,1.01,overcast clouds
123,Miraflores,MX,19.2167,-98.8083,54.03,60,0,3.44,clear sky
124,Pangnirtung,CA,66.1451,-65.7125,1.4,71,100,16.11,light snow
125,Port Elizabeth,ZA,-33.918,25.5701,82.69,65,0,4.61,clear sky
