City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Chicama,PE,70.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
546,Acari,PE,83.48,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
547,Caranavi,BO,69.84,heavy intensity rain,-15.8167,-67.55,Hotel LANDIVAR
548,Pimenta Bueno,BR,87.73,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
550,Inhambane,MZ,79.39,clear sky,-23.865,35.3833,Oceano
558,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
560,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
564,Jaguarao,BR,80.62,light rain,-32.5661,-53.3758,Hotel Rio's
565,Kailua,US,71.74,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
566,Halvad,IN,68.68,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
571,Senanga,ZM,71.42,light rain,-16.1167,23.2667,Zango lodge
573,Kathu,TH,76.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
575,Acajutla,SV,80.94,clear sky,13.5928,-89.8275,asi es
577,Itarema,BR,88.09,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
579,Sao Geraldo Do Araguaia,BR,82.49,moderate rain,-6.4006,-48.555,Hotel Por do Sol
580,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
583,Puerto Leguizamo,CO,89.38,broken clouds,-0.1934,-74.7819,la casona de juancho
584,Wundanyi,KE,68.9,light rain,-3.4019,38.364,Taita Rocks Hotel
585,Nelson Bay,AU,71.01,light rain,-32.7167,152.15,Mantra Nelson Bay
586,Binga,ZW,73.94,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
589,Kang,BW,81.99,broken clouds,-23.6752,22.7876,Kang Ultra Stop
592,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
597,Gigmoto,PH,76.66,overcast clouds,13.7796,124.39,Cj's Travellers Inn
602,Clarence Town,AU,70.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
606,Terre-De-Bas,GP,84.61,clear sky,15.8501,-61.6442,Hôtel Bois Joli
607,Buseresere,TZ,66.72,light rain,-3.0236,31.8747,Flamingo Hotels
613,Paracuru,BR,86.02,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
615,Sillod,IN,69.4,clear sky,20.3,75.65,पवन
619,Mulanje,MW,74.89,broken clouds,-16.0316,35.5,Mulanje Motel
621,Pemba,MZ,84.9,thunderstorm,-12.974,40.5178,Guesthouse Samotina
623,Achalpur,IN,67.68,clear sky,21.2572,77.5086,Aashiyana Building
625,Qui Nhon,VN,72.1,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
626,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
632,La Reforma,MX,67.24,overcast clouds,25.0833,-108.05,Hotel Reforma
636,San Juan Bautista,PE,66.83,broken clouds,-14.0108,-75.7358,Hotel Las Dunas
638,Tuy Hoa,VN,71.19,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
639,Lethem,GY,82.45,few clouds,3.3803,-59.7968,Savannah Inn
641,Abu Dhabi,AE,71.96,broken clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
643,Manoel Urbano,BR,91.9,few clouds,-8.8389,-69.2597,Baixada Beira Rio
648,Bindura,ZW,69.44,moderate rain,-17.3019,31.3306,Mayfair Lodges and Restaurant
650,Nouakchott,MR,89.53,clear sky,18.0858,-15.9785,HOTEL IMAN
653,Jiwani,PK,71.89,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
658,Tual,ID,79.02,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
660,Galesong,ID,75.22,light rain,-5.3166,119.3661,Sapriadi Appy
662,Swellendam,ZA,80.98,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
670,Paso De Los Toros,UY,77.34,moderate rain,-32.8167,-56.5167,Complejo Isabelino
671,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
